Date,Created_at
85/01/13,2019-09-20 23:46:45.152136
85/01/15,2019-09-20 23:46:45.154949
85/01/16,2019-09-20 23:46:45.158354
85/01/17,2019-09-20 23:46:45.160847
85/01/18,2019-09-20 23:46:45.164175
85/01/19,2019-09-20 23:46:45.168121
85/01/20,2019-09-20 23:46:45.170989
85/01/22,2019-09-20 23:46:45.177508
85/01/23,2019-09-20 23:46:45.190467
85/01/24,2019-09-20 23:46:45.198352
85/01/25,2019-09-20 23:46:45.202828
85/01/26,2019-09-20 23:46:45.206145
85/01/27,2019-09-20 23:46:45.212368
85/01/29,2019-09-20 23:46:45.217400
85/01/30,2019-09-20 23:46:45.224580
85/01/31,2019-09-20 23:46:45.232127
85/02/01,2019-09-20 23:46:45.237191
85/02/02,2019-09-20 23:46:45.241661
85/02/03,2019-09-20 23:46:45.249406
85/02/05,2019-09-20 23:46:45.266002
85/02/06,2019-09-20 23:46:45.272427
85/02/07,2019-09-20 23:46:45.276060
85/02/08,2019-09-20 23:46:45.279260
85/02/09,2019-09-20 23:46:45.281989
85/02/10,2019-09-20 23:46:45.284976
85/02/12,2019-09-20 23:46:45.287912
85/02/13,2019-09-20 23:46:45.293613
85/02/14,2019-09-20 23:46:45.296811
85/02/15,2019-09-20 23:46:45.300949
85/02/23,2019-09-20 23:46:45.307632
85/02/24,2019-09-20 23:46:45.315856
85/02/26,2019-09-20 23:46:45.324293
85/02/27,2019-09-20 23:46:45.331598
85/02/28,2019-09-20 23:46:45.335896
85/02/29,2019-09-20 23:46:45.340185
85/03/01,2019-09-20 23:46:45.343489
85/03/02,2019-09-20 23:46:45.358404
85/03/04,2019-09-20 23:46:45.361583
85/03/05,2019-09-20 23:46:45.366063
85/03/06,2019-09-20 23:46:45.370225
85/03/07,2019-09-20 23:46:45.373953
85/03/08,2019-09-20 23:46:45.377147
85/03/09,2019-09-20 23:46:45.379987
85/03/11,2019-09-20 23:46:45.384046
85/03/12,2019-09-20 23:46:45.387088
85/03/13,2019-09-20 23:46:45.391616
85/03/14,2019-09-20 23:46:45.393722
85/03/15,2019-09-20 23:46:45.397434
85/03/16,2019-09-20 23:46:45.405651
85/03/18,2019-09-20 23:46:45.412157
85/03/19,2019-09-20 23:46:45.433347
85/03/20,2019-09-20 23:46:45.439168
85/03/21,2019-09-20 23:46:45.443723
85/03/22,2019-09-20 23:46:45.450519
85/03/25,2019-09-20 23:46:45.456239
85/03/26,2019-09-20 23:46:45.462509
85/03/27,2019-09-20 23:46:45.483505
85/03/28,2019-09-20 23:46:45.488185
85/04/01,2019-09-20 23:46:45.491886
85/04/02,2019-09-20 23:46:45.493693
85/04/05,2019-09-20 23:46:45.497852
85/04/06,2019-09-20 23:46:45.501592
85/04/08,2019-09-20 23:46:45.505341
85/04/09,2019-09-20 23:46:45.510385
85/04/10,2019-09-20 23:46:45.514438
85/04/11,2019-09-20 23:46:45.518219
85/04/12,2019-09-20 23:46:45.521165
85/04/13,2019-09-20 23:46:45.524747
85/04/15,2019-09-20 23:46:45.528108
85/04/16,2019-09-20 23:46:45.531567
85/04/17,2019-09-20 23:46:45.535021
85/04/18,2019-09-20 23:46:45.538283
85/04/19,2019-09-20 23:46:45.541821
85/04/20,2019-09-20 23:46:45.544849
85/04/22,2019-09-20 23:46:45.547576
85/04/23,2019-09-20 23:46:45.550761
85/04/24,2019-09-20 23:46:45.554288
85/04/25,2019-09-20 23:46:45.557975
85/04/26,2019-09-20 23:46:45.561034
85/04/27,2019-09-20 23:46:45.564608
85/04/29,2019-09-20 23:46:45.568143
85/04/30,2019-09-20 23:46:45.572087
85/05/01,2019-09-20 23:46:45.575884
85/05/02,2019-09-20 23:46:45.579043
85/05/03,2019-09-20 23:46:45.583844
85/05/04,2019-09-20 23:46:45.587325
85/05/06,2019-09-20 23:46:45.591886
85/05/07,2019-09-20 23:46:45.594044
85/05/08,2019-09-20 23:46:45.596758
85/05/09,2019-09-20 23:46:45.612293
85/05/10,2019-09-20 23:46:45.618006
85/05/11,2019-09-20 23:46:45.623103
85/05/13,2019-09-20 23:46:45.626562
85/05/14,2019-09-20 23:46:45.629641
85/05/15,2019-09-20 23:46:45.632695
85/05/16,2019-09-20 23:46:45.636079
85/05/17,2019-09-20 23:46:45.638622
85/05/18,2019-09-20 23:46:45.642806
85/05/20,2019-09-20 23:46:45.647376
85/05/21,2019-09-20 23:46:45.651398
85/05/22,2019-09-20 23:46:45.656481
85/05/23,2019-09-20 23:46:45.659695
85/05/24,2019-09-20 23:46:45.663944
85/05/25,2019-09-20 23:46:45.668164
85/05/27,2019-09-20 23:46:45.672607
85/05/28,2019-09-20 23:46:45.677587
