公司代號,營業收入(百萬元),毛利率(%)(營業毛利)/(營業收入),營業利益率(%)(營業利益)/(營業收入),稅前純益率(%)(稅前純益)/(營業收入),稅後純益率(%)(稅後純益)/(營業收入),年份,季度,公司名稱
3516,588.07,0.75,-19.0,-15.73,-13.82,102,2,亞帝歐
3520,359.37,4.09,-18.13,-19.3,-19.67,102,2,振維電子
3521,344.12,1.43,-12.96,-13.09,-13.09,102,2,鴻翊
3522,1439.55,10.07,3.9,3.12,2.15,102,2,御頂
3523,692.61,1.65,-23.63,-24.73,-24.37,102,2,迎輝科技
3526,763.09,29.63,4.29,4.73,3.65,102,2,凡甲科技
3527,1020.76,33.48,4.71,6.39,5.28,102,2,聚積
3529,372.35,100.0,39.14,40.22,34.3,102,2,力旺
3531,995.6,17.04,4.01,6.69,5.75,102,2,先益電子
3537,1556.94,10.89,5.39,6.6,5.43,102,2,堡達
3540,1735.66,32.22,4.02,3.61,3.05,102,2,曜越科技
3541,500.17,32.13,8.77,10.44,8.67,102,2,西柏科技
3546,407.41,93.36,10.35,11.1,8.12,102,2,宇峻奧汀
3548,1225.15,20.83,0.27,3.44,2.25,102,2,兆利
3551,652.75,38.04,24.13,25.48,20.57,102,2,世禾
3552,2115.53,27.49,8.76,10.16,7.39,102,2,同致電子
3555,499.46,4.36,-64.94,-62.48,-62.65,102,2,重鵬
3556,705.54,60.3,34.19,36.81,32.1,102,2,禾瑞亞
3558,2204.99,28.18,8.22,9.57,8.25,102,2,神準
3562,192.49,-23.27,-35.68,-37.63,-37.63,102,2,頂晶科
3564,470.91,28.51,9.69,10.82,9.2,102,2,其陽
3567,177.84,18.61,0.28,0.36,0.35,102,2,逸昌科技
3570,355.97,44.53,12.86,12.6,10.17,102,2,大塚資訊
3577,359.02,52.07,10.4,12.83,12.06,102,2,泓格科技
3580,282.13,-0.9,-30.43,-36.17,-34.41,102,2,友威科技
3581,639.74,40.88,20.32,7.85,3.98,102,2,博磊科技
3587,461.94,41.5,25.17,25.41,22.34,102,2,閎康科技
3594,606.27,38.12,5.91,7.85,6.48,102,2,磐儀
3609,421.03,28.84,-1.7,-0.79,-1.79,102,2,東林
3611,1048.58,44.37,27.29,29.18,22.15,102,2,鼎翰
3615,608.5,16.44,11.4,13.58,10.28,102,2,安可光電
3623,417.29,18.87,9.4,11.25,9.21,102,2,富晶通
3624,637.11,33.41,15.12,19.13,15.58,102,2,光頡
3625,207.98,3.6,-32.28,-30.94,-25.87,102,2,西勝
3628,1243.55,22.54,5.87,6.57,5.28,102,2,盈正豫順
3629,199.31,6.82,-3.4,-2.83,-3.11,102,2,地心引力
3630,617.7,13.07,-14.31,-9.47,-7.86,102,2,新鉅科
3631,726.84,11.05,6.2,6.92,5.7,102,2,晟楠
3632,523.51,32.06,6.64,7.68,4.82,102,2,研勤
3642,384.22,20.46,0.44,3.2,2.3,102,2,駿熠電子
3646,470.55,21.03,-1.07,2.05,1.72,102,2,艾恩特
3652,835.72,33.33,-1.85,-0.84,-0.82,102,2,精聯
3663,1818.65,3.39,-0.69,-0.1,-0.16,102,2,鑫科材料
3664,497.48,79.94,-16.03,-13.0,-13.68,102,2,安瑞-KY
3666,607.5,23.09,12.98,17.5,17.5,102,2,光耀
3675,412.18,8.81,-3.3,-2.78,-2.62,102,2,德微科技
3680,794.95,15.05,-6.55,-5.87,-5.81,102,2,家登精密
3684,198.54,39.05,9.77,11.77,10.52,102,2,榮昌
3685,306.61,29.09,8.88,7.74,5.89,102,2,元創精密
3687,238.1,36.76,-20.21,-12.34,-11.83,102,2,歐買尬
3689,2308.38,27.91,15.27,15.1,11.72,102,2,湧德電子
3691,2171.11,21.0,13.81,16.05,14.54,102,2,碩禾
3693,1284.74,30.64,14.45,14.99,11.4,102,2,營邦
4102,154.42,16.6,-10.93,-8.81,-6.79,102,2,永日化工
