公司代號,現金及約當現金,存放央行及拆借銀行同業,透過損益按公允價值衡量之金融資產,避險之衍生金融資產淨額,附賣回票券及債券投資淨額,應收款項－淨額,當期所得稅資產,待出售資產－淨額,貼現及放款－淨額,備供出售金融資產－淨額,持有至到期日金融資產－淨額,採用權益法之投資－淨額,受限制資產－淨額,其他金融資產－淨額,不動產及設備－淨額,投資性不動產投資－淨額,無形資產－淨額,遞延所得稅資產,其他資產－淨額,資產總額,央行及銀行同業存款,央行及同業融資,透過損益按公允價值衡量之金融負債,避險之衍生金融負債－淨額,附買回票券及債券負債,應付款項,當期所得稅負債,與待出售資產直接相關之負債,存款及匯款,應付金融債券,應付公司債,特別股負債,其他金融負債,負債準備,遞延所得稅負債,其他負債,負債總額,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總額,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,每股參考淨值,流動資產,非流動資產,資產合計,流動負債,非流動負債,負債合計,保留盈餘（或累積虧損）,歸屬於母公司業主權益合計,權益合計,母公司暨子公司持有之母公司庫藏股股數（單位：股）,存放央行及拆借金融同業,避險之衍生金融資產,附賣回票券及債券投資,再保險合約資產－淨額,投資性不動產－淨額,央行及金融同業存款,避險之衍生金融負債,應付商業本票－淨額,應付債券,其他借款,歸屬於母公司業主之權益,應收款項,待出售資產,投資,再保險合約資產,不動產及設備,無形資產,其他資產,分離帳戶保險商品資產,短期債務,以成本衡量之金融負債,保險負債,具金融商品性質之保險契約準備,外匯價格變動準備,分離帳戶保險商品負債,庫藏股,年份,季度,公司名稱,待註銷股本股數（單位：股）
1234,,,,,,,,,,,,,,,,,,,,24721074.0,,,,,,,,,,,,,,,,,4378546.0,5358281,184583.0,14595239.0,204425.0,0.0,20342528.0,,,0.0,20342528.0,0.0,0,37.96,11550159.0,13170915.0,,1681771.0,2696775.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,黑松,
1235,,,,,,,,,,,,,,,,,,,,1762285.0,,,,,,,,,,,,,,,,,820589.0,561688,27674.0,193889.0,168736.0,-11584.0,940403.0,,,1293.0,941696.0,2131610.0,0,17.4,1239746.0,522539.0,,763205.0,57384.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,興泰,
1236,,,,,,,,,,,,,,,,,,,,2929621.0,,,,,,,,,,,,,,,,,1399986.0,1083425,33396.0,451476.0,-38662.0,0.0,1529635.0,,,0.0,1529635.0,0.0,0,14.12,950531.0,1979090.0,,707484.0,692502.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,宏亞食品,
1256,,,,,,,,,,,,,,,,,,,,804022.0,,,,,,,,,,,,,,,,,313872.0,176400,60109.0,236515.0,15164.0,0.0,488188.0,,,1962.0,490150.0,0.0,0,27.68,546811.0,257211.0,,298896.0,14976.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,鮮活果汁-KY,
1301,,,,,,,,,,,,,,,,,,,,374690753.0,,,,,,,,,,,,,,,,,139426978.0,61209046,11227487.0,117904478.0,44922764.0,,235263775.0,,,,235263775.0,0.0,0,38.44,133972356.0,240718397.0,,64495739.0,74931239.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台塑,
1303,,,,,,,,,,,,,,,,,,,,483381178.0,,,,,,,,,,,,,,,,,221053458.0,78522986,22000776.0,122992752.0,26945742.0,-1945.0,250460311.0,,,11867409.0,262327720.0,183235.0,0,31.9,212762441.0,270618737.0,,85907501.0,135145957.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,南亞塑膠,
1304,,,,,,,,,,,,,,,,,,,,57624588.0,,,,,,,,,,,,,,,,,25756073.0,11426024,129781.0,6261983.0,253842.0,-439705.0,17631925.0,,,14236590.0,31868515.0,104438075.0,0,16.98,35265116.0,22359472.0,,15006397.0,10749676.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,台聚,
1305,,,,,,,,,,,,,,,,,,,,11592665.0,,,,,,,,,,,,,,,,,5557125.0,4248035,8287.0,1534971.0,16079.0,0.0,5807372.0,,,228168.0,6035540.0,0.0,0,13.67,5541932.0,6050733.0,,2418559.0,3138566.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,華夏,
1307,,,,,,,,,,,,,,,,,,,,12030335.0,,,,,,,,,,,,,,,,,5137097.0,3534562,137866.0,3233225.0,-12415.0,0.0,6893238.0,,,0.0,6893238.0,0.0,0,19.5,6576563.0,5453772.0,,2791922.0,2345175.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,三芳化工,
1308,,,,,,,,,,,,,,,,,,,,10371366.0,,,,,,,,,,,,,,,,,922673.0,4696769,14194.0,3793511.0,944219.0,0.0,9448693.0,,,0.0,9448693.0,0.0,0,20.12,4689152.0,5682214.0,,568882.0,353791.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,亞聚,
